,,,,SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
L,BigRiver,C,11,9,11:04:58,9/26/24,Manual gsw+F,LI-COR Default,,009,,,0.436926,1.8457,0.353293,2.864612,1.423657,1.259766,2.226415,0.802759,12.494059,14.119483,22.081047,0.441786,7.5,PSF-00232_20240926110458_22d,0,0,0,95.880035,454.122406,0.788867,0.5,0.8,5.484894,1,60.19,53.26,20.13,19.15,19.15,100.83,76.8,-12.9,116.9,17,4.026,10:58:14,9/26/24,-0.25,1,-0.004,0.002,-0.004,0.277,0.491,1.034,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,447.615265,25,-4.400159,445.852875,447.817383,-1.964508,2.488627,2.507442,1.038276,0.579391,0.331491,-0.010156,0.228928,0.121562,95.880035,0.000652,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240926110458_22d,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
D,BigRiver,C,11,1,11:11:50,9/26/24,Manual gsw+F,LI-COR Default,,001,,,0.412264,1.811742,0.335842,2.925416,1.419109,1.247716,2.281397,0.862287,12.372951,14.072567,22.623421,0.441786,7.5,PSF-00232_20240926111150_265,0,0,0,125.886795,567.610168,0.778216,0.5,0.8,0.245277,1,60.56,53.24,19.98,19.55,19.55,100.84,75,-11.4,115.2,1,4.023,11:11:35,9/26/24,-0.52,1,0.004,0.006,0.01,0.303,0.754,1.568,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,567.610168,25,3.054356,567.429199,571.986755,-4.557556,2.488639,2.50838,1.026471,0.582,0.333488,-0.004152,0.233039,0.107728,125.886795,0.000645,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240926111150_265,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
D,BigRiver,C,11,2,11:13:08,9/26/24,Manual gsw+F,LI-COR Default,,002,,,0.464896,1.702485,0.365178,3.047458,1.471213,1.27836,2.296922,0.825709,12.678492,14.591168,22.780373,0.441786,7.5,PSF-00232_20240926111308_48a,0,0,0,140.579575,576.91449,0.756325,0.5,0.8,0.503517,1,62.79,54.56,19.98,19.65,19.65,100.83,69.4,-12.4,117.9,2,4.018,11:11:35,9/26/24,-0.52,1,-0.002,-0.001,0,0.112,0.516,1.176,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,574.966553,25,-1.07374,572.865845,575.375916,-2.510071,2.490511,2.511521,0.989978,0.580283,0.333521,-0.002916,0.239995,0.108459,140.579575,0.000663,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240926111308_48a,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
D,BigRiver,C,11,3,11:16:39,9/26/24,Manual gsw+F,LI-COR Default,,003,,,0.39568,1.575143,0.31624,2.789831,1.509842,1.315816,2.382091,0.872249,13.051237,14.975727,23.627338,0.441786,7.5,PSF-00232_20240926111639_a9e,0,0,0,105.441925,461.322205,0.771435,0.5,0.8,0.453744,1,63.71,55.53,20.16,20.24,20.24,100.82,63.1,-12.7,120.1,1,4.017,11:11:35,9/26/24,-0.52,1,-0.001,-0.001,0,0.299,0.725,1.369,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,449.927673,25,-7.483534,445.936554,450.598969,-4.662415,2.491832,2.512767,0.950051,0.579792,0.331077,0.00155,0.255729,0.108297,105.441925,0.000641,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240926111639_a9e,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,BigRiver,B,12,1,12:18:26,9/26/24,Manual gsw+F,LI-COR Default,,001,,,0.048066,0.931431,0.045707,0.562422,1.460703,1.389244,2.678992,1.218289,13.744281,14.451247,26.504204,0.441786,7.5,PSF-00232_20240926121826_1e9,0,0,0,185.008408,442.335846,0.581747,0.5,0.8,6.179029,1,56.46,53.7,21.58,22.16,22.16,101.08,34.6,-12.5,136.2,27,3.977,12:18:01,9/26/24,-0.65,1,0,0.001,0.002,28.287,-10.141,-27.194,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,440.737,25,-1.411098,439.202057,440.313873,-1.111816,2.488869,2.502347,0.781132,0.580097,0.31266,0.00689,0.197898,0.129208,185.008408,0.00063,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240926121826_1e9,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,BigRiver,B,12,2,12:18:41,9/26/24,Manual gsw+F,LI-COR Default,,002,,,0.09689,0.929153,0.087741,1.012559,1.533349,1.404463,2.67539,1.142041,13.896598,15.171873,26.47191,0.441786,7.5,PSF-00232_20240926121841_20d,0,0,0,113.734245,453.554382,0.749238,0.5,0.8,39.102348,1,59.03,54.07,21.65,22.13,22.13,101.07,34.5,-13,137.7,130,3.976,12:18:01,9/26/24,-0.65,1,0.006,0.011,-9999,0.828,1.586,-9999,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,453.554382,25,1.309528,454.369781,455.430817,-1.061035,2.489367,2.505956,0.780612,0.579244,0.311811,0.005865,0.199286,0.215843,113.734245,0.000644,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240926121841_20d,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,BigRiver,B,12,3,12:19:26,9/26/24,Manual gsw+F,LI-COR Default,,003,,,0.175057,0.925214,0.147205,1.557152,1.653348,1.454446,2.69947,1.046122,14.390305,16.358242,26.708586,0.441786,7.5,PSF-00232_20240926121926_03e,0,0,0,86.012009,408.318665,0.789351,0.5,0.8,10.087468,1,62.88,55.32,21.85,22.28,22.28,101.07,34.4,-13.4,138.9,32,3.974,12:18:01,9/26/24,-0.65,1,-0.002,-0.006,0,-0.36,0.194,-1.201,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,403.559814,25,-4.552514,401.301025,401.795319,-0.494293,2.49109,2.511334,0.779715,0.578677,0.309356,0.005281,0.203329,0.133706,86.012009,0.000641,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240926121926_03e,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,BigRiver,B,12,4,12:20:19,9/26/24,Manual gsw+F,LI-COR Default,,004,,,0.146505,0.899122,0.125978,1.422213,1.662425,1.474988,2.778508,1.116083,14.592072,16.446379,27.487799,0.441786,7.5,PSF-00232_20240926122019_7e6,0,0,0,124.526024,443.160309,0.719005,0.5,0.8,8.062805,1,62.28,55.26,22.1,22.76,22.76,101.08,33.3,-13,139.1,28,3.973,12:18:01,9/26/24,-0.65,1,0.003,0.003,0.007,-0.418,-2.731,-6.223,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,443.160309,25,3.482401,446.326385,448.150269,-1.823883,2.490938,2.510418,0.773805,0.579253,0.306294,0.007845,0.207903,0.130443,124.526024,0.000635,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240926122019_7e6,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,BigRiver,B,12,5,12:20:44,9/26/24,Manual gsw+F,LI-COR Default,,005,,,0.147329,0.890356,0.126412,1.378545,1.67419,1.490579,2.75237,1.07818,14.74627,16.562733,27.229145,0.441786,7.5,PSF-00232_20240926122044_915,0,0,0,114.321472,446.956512,0.744222,0.5,0.8,7.429201,1,62.31,55.47,22.21,22.6,22.6,101.08,33,-12.9,139.1,25,3.972,12:18:01,9/26/24,-0.65,1,0.003,0.002,0.007,-1.1,-0.907,-2.267,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,446.956512,25,2.060421,448.807251,449.908905,-1.101654,2.491214,2.510427,0.771834,0.579468,0.304963,0.004824,0.209933,0.127876,114.321472,0.000646,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240926122044_915,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,BigRiver,B,12,6,12:21:12,9/26/24,Manual gsw+F,LI-COR Default,,006,,,0.130942,0.890036,0.114149,1.274758,1.673966,1.504113,2.77793,1.103964,14.880312,16.560678,27.482283,0.441786,7.5,PSF-00232_20240926122112_d2c,0,0,0,128.680939,467.197906,0.724569,0.5,0.8,34.911518,1,61.79,55.52,22.34,22.75,22.75,101.08,33,-12.9,139.2,120,3.968,12:18:01,9/26/24,-0.65,1,0,0.002,-0.001,1.813,3.179,-0.679,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,467.197906,25,1.280508,468.069794,469.032745,-0.962952,2.491248,2.509669,0.771762,0.57942,0.303331,0.005022,0.212259,0.207492,128.680939,0.000646,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240926122112_d2c,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,BigRiver,B,12,7,12:23:07,9/26/24,Manual gsw+F,LI-COR Default,,007,,,0.055936,0.847454,0.052472,1.058562,1.682597,1.533839,3.667848,1.985252,15.174015,16.645653,36.285423,0.441786,7.5,PSF-00232_20240926122307_afc,0,0,0,100.069283,119.405182,0.161935,0.5,0.8,126.615051,1,60.23,54.9,22.85,27.42,27.42,101.08,31.2,-12.6,140.2,1955,3.968,12:18:01,9/26/24,-0.65,1,-0.001,0,0.001,-0.065,-0.219,0.05,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,117.053391,25,-1.61061,117.179634,117.097321,0.082314,2.490237,2.507331,0.762278,0.580044,0.297228,0.053804,0.221258,1.736661,100.069283,0.000607,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240926122307_afc,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,BigRiver,B,12,8,12:23:29,9/26/24,Manual gsw+F,LI-COR Default,,008,,,0.064439,0.843104,0.059864,1.199846,1.725103,1.555624,3.696718,1.971615,15.389916,17.066586,36.57193,0.441786,7.5,PSF-00232_20240926122329_6da,0,0,0,88.821175,104.948227,0.153667,0.5,0.8,121.681564,1,61.25,55.24,22.98,27.55,27.55,101.08,31.1,-12.8,141.2,1980,3.967,12:18:01,9/26/24,-0.65,1,0,0,0,-0.188,-0.431,-1,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,102.642059,25,-1.632375,102.439644,102.609184,-0.16954,2.490673,2.50874,0.761318,0.579644,0.295651,0.053862,0.22302,1.757433,88.821175,0.000615,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240926122329_6da,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
L,BigRiver,B,12,9,12:23:58,9/26/24,Manual gsw+F,LI-COR Default,,009,,,0.033437,0.829604,0.032142,0.759756,1.670378,1.561118,3.992579,2.322202,15.445446,16.526447,39.501938,0.441786,7.5,PSF-00232_20240926122358_fc4,0,0,0,90.571404,98.711655,0.082465,0.5,0.8,64.361137,1,58.62,54.78,23.17,28.87,28.87,101.07,30.5,-12.7,141.5,1951,3.966,12:18:01,9/26/24,-0.65,1,-0.001,0,-0.001,-0.214,-0.126,-0.195,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,98.576546,25,-0.066202,99.080086,98.616791,0.463295,2.489986,2.504978,0.758348,0.579864,0.293369,0.067693,0.225443,1.733701,90.571404,0.000625,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240926122358_fc4,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
D,BigRiver,B,12,1,12:30:09,9/26/24,Manual gsw+F,LI-COR Default,,001,,,0.056182,0.791881,0.05246,0.706905,1.706589,1.599728,3.036622,1.330033,15.827212,16.884466,30.043402,0.441786,7.5,PSF-00232_20240926123009_012,0,0,0,170.458679,509.783325,0.665625,0.5,0.8,0.195171,1,56.49,52.95,24.15,24.23,24.23,101.07,29,-12.6,143.5,1,3.963,12:29:35,9/26/24,-0.43,1,-0.003,-0.002,-0.003,-0.041,-0.094,0.121,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,508.203156,25,-1.32041,506.647095,507.891296,-1.244202,2.487134,2.501393,0.750129,0.579918,0.282187,0.001079,0.176899,0.107682,170.458679,0.000637,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240926123009_012,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
D,BigRiver,B,12,2,12:31:14,9/26/24,Manual gsw+F,LI-COR Default,,002,,,0.007788,0.776742,0.007711,0.130624,1.640589,1.620417,3.310567,1.669979,16.034328,16.233927,32.758678,0.441786,7.5,PSF-00232_20240926123114_5d9,0,0,0,21.704435,67.001015,0.676058,0.5,0.8,10.569064,1,53.39,52.73,24.43,25.68,25.68,101.06,28.4,-12.2,143,39,3.961,12:29:35,9/26/24,-0.43,1,-0.001,-0.002,-0.002,-0.066,0.029,-0.495,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,59.855461,25,-4.783313,59.383751,60.146961,-0.76321,2.486755,2.496924,0.746864,0.580602,0.279022,0.014623,0.183714,0.139654,21.704435,0.000637,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20240926123114_5d9,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z
