Date,Site,TreeID,BranchID,Li600_1,Li600_2,Li600_3,Dark_Li600,jPAM_start,jPAM_end,Hour,jpam_directory
8/18/23,Garcia,G,3,7,8,10,3,13:42:45,13:45:30,13:00,081823_GarciaG_2
8/18/23,Garcia,E,1,1,2,3,1,14:16:08,14:18:53,14:00,081823_GarciaE_2
8/18/23,Garcia,E,2,4,5,6,2,14:20:35,14:23:20,14:00,081823_GarciaE_2
8/18/23,Garcia,E,3,7,8,10,3,14:25:03,14:27:48,14:00,081823_GarciaE_2
8/18/23,Garcia,H,1,1,3,4,1,15:02:15,15:05:00,15:00,081823_GarciaH_2
8/18/23,Garcia,H,2,5,7,8,2,15:06:24,15:09:09,15:00,081823_GarciaH_2
8/18/23,Garcia,H,3,9,10,12,3,15:10:24,15:13:09,15:00,081823_GarciaH_2
8/18/23,Garcia,H,1,1,2,3,1,15:38:20,15:41:05,16:00,081823_GarciaH_2
8/18/23,Garcia,H,2,4,5,7,2,15:42:18,15:45:03,16:00,081823_GarciaH_2
8/18/23,Garcia,H,3,9,10,11,3,15:46:46,15:49:31,16:00,081823_GarciaH_2
9/21/23,Garcia,G,1,1,2,3,1,9:08:41,9:11:26,9:00,092123_GarciaG
9/21/23,Garcia,G,2,4,6,7,2,9:12:50,9:15:34,9:00,092123_GarciaG
9/21/23,Garcia,G,3,8,9,10,3,9:17:57,9:20,9:00,092123_GarciaG
9/21/23,Garcia,E,1,1,2,3,1,9:57:03,9:59:48,10:00,092123_GarciaE
9/21/23,Garcia,E,2,4,5,6,2,10:01:25,10:04:09,10:00,092123_GarciaE
9/21/23,Garcia,E,3,7,9,10,3,10:05:18,10:08:03,10:00,092123_GarciaE
9/21/23,Garcia,H,1,1,2,5,1,10:43:31,10:46:16,11:00,092123_GarciaH
9/21/23,Garcia,H,2,6,7,8,3,10:47:35,10:50:19,11:00,092123_GarciaH
9/21/23,Garcia,H,3,9,10,11,4,10:52:02,10:54:47,11:00,092123_GarciaH
9/21/23,Garcia,G,1,1,2,3,1,11:57:39,12:00:23,12:00,092123_GarciaG_2
9/21/23,Garcia,G,2,4,5,6,2,12:01:43,12:04:28,12:00,092123_GarciaG_2
9/21/23,Garcia,G,3,7,8,9,3,12:06:59,12:09:44,12:00,092123_GarciaG_2
9/21/23,Garcia,E,1,1,2,3,1,12:43:02,12:45:45,13:00,092123_GarciaE_2
9/21/23,Garcia,E,2,4,5,6,2,12:46:42,12:49,13:00,092123_GarciaE_2
9/21/23,Garcia,E,3,7,8,9,3,,,13:00,092123_GarciaE_2
9/21/23,Garcia,H,1,1,2,3,4,14:02:40,14:05:25,14:00,092123_GarciaH_2
9/21/23,Garcia,H,2,4,5,6,5,14:07:45,14:10,14:00,092123_GarciaH_2
9/21/23,Garcia,H,3,7,8,9,6,14:12:40,14:15:25,14:00,092123_GarciaH_2
9/21/23,Garcia,G,1,1,2,3,1,14:54:22,14:57:07,15:00,092123_GarciaG_3
9/21/23,Garcia,G,2,4,6,7,2,14:58:39,15:01:20,15:00,092123_GarciaG_3
9/21/23,Garcia,G,3,8,9,10,3,15:02:38,15:05:23,15:00,092123_GarciaG_3
9/21/23,Garcia,E,1,1,2,3,1,15:39:02,15:41:47,16:00,092123_GarciaE_3
9/21/23,Garcia,E,2,4,5,6,2,15:42:58,15:45:43,16:00,092123_GarciaE_3
9/21/23,Garcia,E,3,7,8,9,3,15:46:45,15:49:31,16:00,092123_GarciaE_3
9/21/23,Garcia,H,1,1,2,3,1,16:25:45,16:28:29,17:00,092123_GarciaH_3
9/21/23,Garcia,H,2,4,5,6,2,16:29:13,16:31:56,17:00,092123_GarciaH_3
9/21/23,Garcia,H,3,7,8,10,3,16:32:51,16:35:35,17:00,092123_GarciaH_3
10/6/23,Garcia,G,1,1,2,3,1,9:20:33,9:23:18,9:00,100623_GarciaG
10/6/23,Garcia,G,2,4,5,6,2,9:24:44,9:27:29,9:00,100623_GarciaG
10/6/23,Garcia,G,3,7,8,9,3,9:28:40,9:31:25,9:00,100623_GarciaG
10/6/23,Garcia,E,1,1,2,3,1,10:02:57,10:05:42,10:00,100623_GarciaE
10/6/23,Garcia,E,2,4,5,6,2,10:07:34,10:10:19,10:00,100623_GarciaE
10/6/23,Garcia,E,3,7,8,9,3,10:11:22,10:14:06,10:00,100623_GarciaE
10/6/23,Garcia,H,1,1,2,3,1,10:53:08,10:55:53,11:00,100623_GarciaH
10/6/23,Garcia,H,2,4,5,6,3,10:57:50,11:00:35,11:00,100623_GarciaH
10/6/23,Garcia,H,3,7,8,9,4,11:01:35,11:04:20,11:00,100623_GarciaH
10/6/23,Garcia,G,1,1,2,3,1,11:47:01,11:49:47,12:00,100623_GarciaG_2
10/6/23,Garcia,G,2,4,5,6,2,11:51:12,11:53:57,12:00,100623_GarciaG_2
10/6/23,Garcia,G,3,7,8,9,3,11:54:44,11:57:29,12:00,100623_GarciaG_2
10/6/23,Garcia,E,1,1,2,3,1,12:31:08,12:33:53,13:00,100623_GarciaE_2
10/6/23,Garcia,E,2,4,5,6,2,12:34:57,12:37:43,13:00,100623_GarciaE_2
10/6/23,Garcia,E,3,7,8,9,3,12:38:39,12:41:23,13:00,100623_GarciaE_2
10/6/23,Garcia,H,1,1,2,3,1,14:00:43,14:03:28,14:00,100623_GarciaH_2
10/6/23,Garcia,H,2,4,5,6,3,14:05:09,14:07:54,14:00,100623_GarciaH_2
10/6/23,Garcia,H,3,7,8,9,4,14:08:53,14:11:37,14:00,100623_GarciaH_2
10/6/23,Garcia,G,1,1,2,3,11,14:38:39,14:41:23,15:00,100623_GarciaG_3
10/6/23,Garcia,G,2,4,5,6,2,14:42:56,14:45:41,15:00,100623_GarciaG_3
10/6/23,Garcia,G,3,7,8,9,3,14:47:40,14:50:25,15:00,100623_GarciaG_3
10/25/23,Garcia,G,1,1,2,3,1,9:13:29,9:16:09,9:00,102523_GarciaG
10/25/23,Garcia,G,2,4,5,6,2,9:19:30,9:22:10,9:00,102523_GarciaG
10/25/23,Garcia,G,3,7,8,9,3,9:24:43,9:27:23,9:00,102523_GarciaG
10/25/23,Garcia,E,1,1,2,3,1,10:01:53,10:04:33,10:00,102523_GarciaE
10/25/23,Garcia,E,2,4,5,6,2,10:06:38,10:09:18,10:00,102523_GarciaE
10/25/23,Garcia,E,3,7,8,9,3,10:12:13,10:14:53,10:00,102523_GarciaE
10/25/23,Garcia,H,1,1,2,3,1,10:57:05,10:59:45,11:00,102523_GarciaH
10/25/23,Garcia,H,2,5,6,7,2,11:01:17,11:03:57,11:00,102523_GarciaH
10/25/23,Garcia,H,3,8,9,10,3,11:05:10,11:07:50,11:00,102523_GarciaH
10/25/23,Garcia,G,1,1,3,4,1,11:49:57,11:52:37,12:00,102523_GarciaG_2
10/25/23,Garcia,G,2,5,6,7,2,11:54:41,11:57:21,12:00,102523_GarciaG_2
